文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.2577
ROUGE-L 召回率: 0.4536
ROUGE-L 精确率: 0.4004
ROUGE-L F1分数: 0.4184
METEOR: 0.5266
DIST-2: 0.9402

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.1917	0.4194	0.4226	0.9231
2	0.1506	0.3310	0.3968	0.9857
3	0.2020	0.4111	0.4843	0.9192
4	0.0712	0.3226	0.3074	0.9362
5	0.2059	0.4496	0.4806	0.9643
6	0.3421	0.4675	0.6139	0.9342
7	0.1915	0.3006	0.4185	0.9362
8	0.2202	0.4113	0.4959	0.9365
9	0.2608	0.4444	0.5221	0.9672
10	0.1549	0.3217	0.4217	0.9286
11	0.2371	0.3692	0.4520	0.9688
12	0.2357	0.4051	0.5249	0.9444
13	0.1762	0.3253	0.4872	0.9620
14	0.1768	0.3648	0.4567	0.9710
15	0.2588	0.4153	0.5201	0.9412
16	0.2201	0.3681	0.4648	0.9722
17	0.2396	0.4625	0.4566	0.9420
18	0.2038	0.3077	0.4907	0.9310
19	0.2491	0.3882	0.5180	0.9500
20	0.1570	0.4286	0.4326	0.9804
21	0.2110	0.3816	0.4908	0.9714
22	0.2381	0.4074	0.4716	0.9589
23	0.0537	0.2710	0.2575	1.0000
24	0.2528	0.4314	0.5046	0.9565
25	0.2879	0.5198	0.5228	0.9333
26	0.0979	0.3259	0.3299	0.9792
27	0.1520	0.3580	0.4430	0.9600
28	0.1634	0.3721	0.4264	0.9873
29	0.1535	0.4025	0.4289	0.8904
30	0.1242	0.3721	0.3546	0.9545
31	0.2631	0.3758	0.4710	0.9104
32	0.2427	0.3263	0.5114	0.9223
33	0.1272	0.2515	0.3277	0.9452
34	0.2941	0.3824	0.5256	0.9500
35	0.1489	0.2857	0.3706	0.9681
36	0.2778	0.4000	0.5869	0.9556
37	0.3959	0.5960	0.5947	0.9688
38	0.3846	0.4835	0.6807	0.9423
39	0.2857	0.4142	0.5042	0.9762
40	0.2903	0.4778	0.5446	0.9355
41	0.3361	0.4973	0.5124	0.9318
42	0.4179	0.5758	0.6105	0.9403
43	0.2614	0.3905	0.5151	0.9545
44	0.2500	0.4142	0.5333	0.9479
45	0.3163	0.4678	0.5579	0.9184
46	0.3472	0.5286	0.5968	0.9583
47	0.3333	0.4962	0.5446	0.9394
48	0.1287	0.2971	0.4200	0.9505
49	0.3084	0.5281	0.6642	0.9626
50	0.2170	0.4405	0.6272	0.9340
51	0.1791	0.3478	0.5116	0.9552
52	0.2636	0.4167	0.5855	0.9545
53	0.2593	0.4837	0.5370	0.9506
54	0.1685	0.3810	0.4682	0.9551
55	0.2069	0.3694	0.4742	0.9425
56	0.3119	0.4712	0.6047	0.9450
57	0.2054	0.2842	0.5045	0.9375
58	0.2784	0.4162	0.5140	0.9278
59	0.3194	0.4861	0.5790	0.9583
60	0.3373	0.4790	0.5440	0.9277
61	0.3000	0.4472	0.5565	0.9444
62	0.3650	0.5082	0.5636	0.9455
63	0.2474	0.4431	0.5761	0.9485
64	0.2812	0.4535	0.6054	0.9583
65	0.4000	0.5455	0.6376	0.8933
66	0.2150	0.4022	0.5149	0.9065
67	0.2424	0.4686	0.5726	0.9596
68	0.2000	0.3676	0.5591	0.9625
69	0.2198	0.4052	0.5732	0.9560
70	0.2683	0.3803	0.5585	0.9146
71	0.3077	0.4835	0.6250	0.9423
72	0.4022	0.5311	0.6486	0.9348
73	0.3951	0.5309	0.5745	0.9383
74	0.2149	0.3571	0.5607	0.8760
75	0.2963	0.4366	0.6396	0.9630
76	0.2677	0.3502	0.4631	0.9134
77	0.2773	0.4364	0.5179	0.9496
78	0.3394	0.4945	0.5563	0.9302
79	0.2667	0.3333	0.4405	0.9540
80	0.2685	0.3483	0.4220	0.8889
81	0.2232	0.4179	0.5049	0.9375
82	0.3770	0.6145	0.5704	0.9571
83	0.3516	0.5056	0.6019	0.9560
84	0.2479	0.3774	0.5243	0.9060
85	0.2432	0.4545	0.4092	0.9524
86	0.3962	0.4279	0.6119	0.9245
87	0.2903	0.4530	0.5424	0.9247
88	0.2250	0.3490	0.4696	0.9500
89	0.2222	0.3457	0.4156	0.9383
90	0.3223	0.4831	0.6441	0.9587
91	0.3814	0.4948	0.5540	0.9485
92	0.3551	0.4854	0.5651	0.9252
93	0.3489	0.4876	0.5516	0.9583
94	0.2827	0.5326	0.5341	0.9524
95	0.3654	0.4683	0.6196	0.9519
96	0.3363	0.4689	0.6291	0.9292
97	0.2483	0.5161	0.6405	0.9128
98	0.2685	0.5314	0.5608	0.9722
99	0.2885	0.5417	0.6045	0.9712
100	0.3700	0.5628	0.6096	0.9300
101	0.3772	0.5794	0.6482	0.9561
102	0.3571	0.5556	0.7727	0.9365
103	0.2479	0.4507	0.5750	0.9402
104	0.2101	0.4549	0.5860	0.9130
105	0.3051	0.5238	0.6305	0.9492
106	0.3160	0.4898	0.5442	0.9570
107	0.2609	0.4739	0.6122	0.9391
108	0.1353	0.3436	0.4551	0.9549
