文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.3727
ROUGE-L 召回率: 0.5852
ROUGE-L 精确率: 0.5544
ROUGE-L F1分数: 0.5661
METEOR: 0.6159
DIST-2: 0.9360

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.3571	0.5385	0.5786	0.9286
2	0.2871	0.4773	0.5317	0.8614
3	0.3654	0.5838	0.6760	0.8654
4	0.3295	0.5091	0.5463	0.8295
5	0.3516	0.5488	0.6267	0.9451
6	0.3125	0.4937	0.5456	0.9125
7	0.3361	0.5405	0.5340	0.9565
8	0.3402	0.5143	0.5814	0.9381
9	0.4000	0.4906	0.6457	0.8706
10	0.3846	0.5033	0.5762	0.9231
11	0.3402	0.5285	0.5775	0.9574
12	0.2921	0.5143	0.5757	0.9551
13	0.3258	0.5795	0.6213	0.9888
14	0.2842	0.4216	0.6217	0.9368
15	0.4238	0.6374	0.6320	0.9286
16	0.3105	0.5542	0.5434	0.9333
17	0.3456	0.5316	0.5413	0.9552
18	0.3156	0.5102	0.5626	0.9432
19	0.3132	0.5644	0.5384	0.9178
20	0.2136	0.5283	0.4893	0.9286
21	0.3511	0.5682	0.6300	0.9043
22	0.3793	0.5517	0.6070	0.9529
23	0.2799	0.5529	0.5072	0.9583
24	0.3275	0.5860	0.6396	0.9589
25	0.3797	0.5888	0.6183	0.8316
26	0.3575	0.6026	0.6132	0.9710
27	0.3996	0.5389	0.6281	0.9625
28	0.3368	0.5213	0.5696	0.8211
29	0.2857	0.5509	0.5765	0.9630
30	0.2880	0.5250	0.4945	0.9600
31	0.3618	0.5604	0.5349	0.9524
32	0.2165	0.4583	0.4849	0.9649
33	0.2842	0.4762	0.4658	0.8947
34	0.3075	0.4813	0.5576	0.9518
35	0.2594	0.5181	0.5052	0.9577
36	0.3371	0.5089	0.5272	0.8652
37	0.4149	0.5635	0.5958	0.9362
38	0.3158	0.5490	0.5664	0.9733
39	0.3265	0.5246	0.5661	0.9388
40	0.3737	0.5054	0.5863	0.8788
41	0.3565	0.5902	0.5617	0.9651
42	0.3210	0.5479	0.6685	0.9630
43	0.2955	0.4615	0.5073	0.9091
44	0.2121	0.4419	0.5058	0.9596
