文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.3854
ROUGE-L 召回率: 0.5728
ROUGE-L 精确率: 0.5698
ROUGE-L F1分数: 0.5673
METEOR: 0.6134
DIST-2: 0.9398

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.3521	0.5035	0.5384	0.9577
2	0.3115	0.5547	0.5393	0.9677
3	0.3614	0.5732	0.6310	0.9639
4	0.2128	0.4658	0.4523	0.9710
5	0.3086	0.5195	0.5708	0.9630
6	0.3151	0.5270	0.5372	0.9429
7	0.3893	0.5789	0.6268	0.9726
8	0.4176	0.6250	0.6237	0.9697
9	0.4667	0.5503	0.7177	0.9600
10	0.4583	0.6345	0.6464	0.9722
11	0.2830	0.4831	0.5164	0.9494
12	0.3686	0.5576	0.6186	0.9241
13	0.2717	0.5028	0.6093	0.9674
14	0.3089	0.5070	0.6460	0.9350
15	0.2539	0.5125	0.4980	0.9516
16	0.2472	0.4968	0.4700	0.9545
17	0.3311	0.5610	0.5260	0.9589
18	0.2307	0.4633	0.4561	0.9420
19	0.2619	0.5128	0.4767	0.9697
20	0.2852	0.5621	0.5331	0.9688
21	0.2495	0.4615	0.5364	0.9595
22	0.3810	0.6329	0.5995	0.9565
23	0.2575	0.5000	0.4527	0.9714
24	0.2539	0.4645	0.5498	0.9718
25	0.3593	0.5026	0.5914	0.9570
26	0.2796	0.5250	0.5452	0.9726
27	0.3765	0.6144	0.6291	0.9697
28	0.3173	0.5600	0.5976	0.7439
29	0.1889	0.4528	0.4840	0.9178
30	0.2057	0.4638	0.4105	0.9057
31	0.3515	0.5495	0.5670	0.9524
32	0.2660	0.3949	0.4329	0.9286
33	0.2234	0.4810	0.4685	0.9531
34	0.3312	0.5604	0.5412	0.9359
35	0.2005	0.4698	0.4405	0.9630
36	0.2991	0.4706	0.5663	0.9720
37	0.3247	0.5696	0.5221	0.9577
38	0.3777	0.5734	0.5772	0.9692
39	0.3614	0.5576	0.5365	0.9375
40	0.4227	0.5435	0.5876	0.8866
41	0.3580	0.5939	0.5230	0.9559
42	0.4106	0.6446	0.6396	0.9643
43	0.3119	0.4737	0.5986	0.9174
44	0.3483	0.5679	0.6265	0.9438
45	0.3617	0.5269	0.6639	0.9574
46	0.4494	0.6115	0.7622	0.9438
47	0.4318	0.5935	0.7567	0.9432
48	0.2683	0.4103	0.5487	0.9512
49	0.5216	0.6861	0.6711	0.9545
50	0.3721	0.6081	0.7131	0.9535
51	0.3226	0.5422	0.6767	0.9570
52	0.4419	0.5952	0.6705	0.9186
53	0.3158	0.5030	0.6410	0.9579
54	0.3605	0.5455	0.5635	0.9419
55	0.2877	0.4755	0.5058	0.9589
56	0.3729	0.5490	0.6060	0.9437
57	0.3462	0.5165	0.6807	0.9423
58	0.2979	0.5059	0.5756	0.9468
59	0.3662	0.5455	0.5694	0.9577
60	0.3279	0.4937	0.5392	0.9189
61	0.4835	0.7037	0.7998	0.9560
62	0.3924	0.5616	0.6326	0.9494
63	0.4684	0.5772	0.6681	0.9620
64	0.4750	0.6154	0.6328	0.9500
65	0.4000	0.5811	0.6975	0.9500
66	0.4270	0.6335	0.7077	0.9438
67	0.2935	0.4643	0.5701	0.9348
68	0.2763	0.5152	0.5827	0.9474
69	0.2308	0.4096	0.6169	0.9712
70	0.2529	0.4762	0.5687	0.9540
71	0.3846	0.6154	0.6790	0.9341
72	0.4615	0.6023	0.7356	0.9560
73	0.4051	0.5500	0.5940	0.9620
74	0.4646	0.6479	0.6362	0.9403
75	0.3103	0.5405	0.6399	0.9655
76	0.4545	0.5795	0.6600	0.9535
77	0.4936	0.6771	0.6735	0.9341
78	0.3616	0.5561	0.5628	0.9341
79	0.3758	0.5778	0.5869	0.9630
80	0.4053	0.6023	0.5858	0.9518
81	0.5498	0.7024	0.7084	0.9494
82	0.4846	0.6667	0.6586	0.9630
83	0.4587	0.6391	0.6375	0.9756
84	0.5269	0.5957	0.7107	0.9462
85	0.4596	0.6012	0.6014	0.9634
86	0.4721	0.6409	0.6297	0.9302
87	0.5545	0.6984	0.7878	0.9307
88	0.4267	0.6667	0.7070	0.9600
89	0.3882	0.5542	0.6170	0.9647
90	0.4875	0.6424	0.6475	0.9620
91	0.3722	0.5714	0.5471	0.9615
92	0.5299	0.6481	0.7042	0.8718
93	0.5333	0.7048	0.7078	0.9333
94	0.3445	0.5479	0.6552	0.9412
95	0.4035	0.5567	0.6264	0.9355
96	0.3458	0.5714	0.6146	0.9626
97	0.4455	0.6500	0.7157	0.9505
98	0.3195	0.6010	0.5938	0.9043
99	0.3218	0.5371	0.5508	0.9770
100	0.4444	0.6667	0.7004	0.8981
101	0.4950	0.7065	0.7407	0.9010
102	0.4624	0.6776	0.6992	0.9570
103	0.4255	0.5851	0.6280	0.9565
104	0.3979	0.5882	0.6535	0.9348
105	0.3789	0.6310	0.6469	0.9474
106	0.4386	0.6631	0.6247	0.9524
107	0.5208	0.6270	0.6755	0.9213
108	0.3804	0.5137	0.5675	0.9663
109	0.3802	0.4397	0.5137	0.9559
110	0.4423	0.6000	0.6900	0.9135
111	0.5564	0.7143	0.6855	0.9348
112	0.3736	0.5543	0.5494	0.9405
113	0.2317	0.4390	0.4976	0.9589
114	0.3398	0.4545	0.5812	0.9126
115	0.3099	0.5412	0.5257	0.9722
116	0.3724	0.5341	0.5869	0.9398
117	0.3964	0.5859	0.6708	0.9459
118	0.2680	0.4649	0.5129	0.9381
119	0.3868	0.5638	0.6898	0.9528
120	0.3411	0.4970	0.5232	0.8902
121	0.4342	0.6049	0.6342	0.9239
122	0.3386	0.5158	0.5761	0.9070
123	0.2784	0.3938	0.4681	0.8864
124	0.3151	0.4352	0.4976	0.9111
125	0.2710	0.4762	0.5293	0.9252
126	0.4607	0.6292	0.6288	0.9326
127	0.6154	0.7213	0.7416	0.9011
128	0.2990	0.4316	0.5274	0.8969
129	0.3128	0.4824	0.5038	0.9494
130	0.3175	0.4778	0.4934	0.9405
131	0.6289	0.7461	0.7726	0.9485
132	0.3094	0.4756	0.5404	0.9577
133	0.3776	0.5333	0.6544	0.9490
134	0.4360	0.5591	0.6054	0.9222
135	0.4479	0.5263	0.6227	0.9271
136	0.5106	0.6842	0.6815	0.9468
137	0.4300	0.5979	0.6986	0.9300
138	0.5334	0.6740	0.6762	0.9213
139	0.5158	0.6492	0.6961	0.9149
140	0.4194	0.6738	0.6979	0.9457
141	0.3900	0.5766	0.5963	0.9143
142	0.3581	0.5556	0.5597	0.9195
