文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.3871
ROUGE-L 召回率: 0.6040
ROUGE-L 精确率: 0.5651
ROUGE-L F1分数: 0.5801
METEOR: 0.6356
DIST-2: 0.9418

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.3019	0.5843	0.6772	0.9623
2	0.3537	0.5478	0.6266	0.9756
3	0.3529	0.5574	0.6649	0.9412
4	0.3064	0.5541	0.5762	0.9718
5	0.4211	0.6174	0.6498	0.9474
6	0.4023	0.5212	0.6409	0.9540
7	0.4268	0.6335	0.6463	0.9512
8	0.3721	0.5488	0.5690	0.9419
9	0.3548	0.4910	0.6941	0.9570
10	0.4051	0.5921	0.6634	0.9494
11	0.3167	0.5246	0.5588	0.9405
12	0.2744	0.5772	0.5239	1.0000
13	0.3579	0.5934	0.6290	0.8526
14	0.4311	0.5581	0.6867	0.9756
15	0.3899	0.6118	0.5454	0.9444
16	0.3910	0.5647	0.5911	0.9494
17	0.2962	0.5309	0.4890	0.9577
18	0.3256	0.5178	0.5523	0.9438
19	0.2952	0.5087	0.5206	0.9639
20	0.2400	0.5000	0.5074	0.9841
21	0.1441	0.3944	0.4317	1.0000
22	0.2988	0.5318	0.5490	0.8810
23	0.3367	0.5510	0.5718	0.9592
24	0.2326	0.4588	0.5855	0.9535
25	0.2708	0.5251	0.5101	0.9351
26	0.2584	0.4659	0.5628	0.9326
27	0.3637	0.5576	0.5702	0.9615
28	0.2924	0.5325	0.5677	0.9605
29	0.2857	0.5294	0.6011	0.9643
30	0.3176	0.5176	0.5425	0.9412
31	0.4421	0.6480	0.6251	0.9506
32	0.3878	0.5509	0.6473	0.9625
33	0.3149	0.4972	0.5028	0.9425
34	0.4434	0.5238	0.6480	0.9528
35	0.3461	0.5325	0.5501	0.9324
36	0.4190	0.6939	0.6610	0.9701
37	0.4516	0.6333	0.6741	0.9570
38	0.5325	0.6839	0.7228	0.9610
39	0.3868	0.5759	0.6292	0.9340
40	0.3520	0.5091	0.5299	0.9359
41	0.4393	0.6630	0.6262	0.9524
42	0.3258	0.5195	0.6655	0.8652
43	0.3837	0.5389	0.5874	0.9535
44	0.2793	0.4565	0.5591	0.9009
45	0.3804	0.4970	0.6475	0.9457
46	0.3592	0.5965	0.7373	0.9029
47	0.3814	0.6098	0.7146	0.9278
48	0.3929	0.5190	0.6389	0.9524
49	0.4146	0.5882	0.6692	0.9512
50	0.3368	0.5732	0.7031	0.9263
51	0.3494	0.5385	0.6671	0.9518
52	0.4149	0.6023	0.6841	0.9255
53	0.3626	0.5399	0.6888	0.9560
54	0.3271	0.5376	0.6392	0.9439
55	0.2449	0.4643	0.5935	0.9592
56	0.4725	0.6590	0.7291	0.9560
57	0.4146	0.5625	0.6518	0.9634
58	0.3039	0.4944	0.6356	0.9608
59	0.3095	0.5256	0.5979	0.9524
60	0.3283	0.4906	0.5181	0.9600
61	0.5000	0.6946	0.7933	0.9583
62	0.3377	0.5139	0.5980	0.9481
63	0.5068	0.6573	0.6884	0.9589
64	0.5054	0.6272	0.7386	0.9462
65	0.3750	0.6026	0.6702	0.9545
66	0.4556	0.6667	0.7333	0.9444
67	0.4388	0.6092	0.7134	0.9286
68	0.2717	0.5000	0.6264	0.9565
69	0.3333	0.5806	0.7030	0.9462
70	0.2617	0.4551	0.6059	0.9533
71	0.4466	0.6851	0.7734	0.9612
72	0.3947	0.5829	0.7524	0.9474
73	0.4667	0.5965	0.6987	0.9444
74	0.4353	0.6625	0.7118	0.9529
75	0.4054	0.5037	0.6618	0.9595
76	0.4796	0.5851	0.6962	0.9592
77	0.4040	0.5758	0.5917	0.9278
78	0.4681	0.6138	0.6777	0.9247
79	0.4429	0.6387	0.6522	0.9239
80	0.4118	0.6154	0.6602	0.9608
81	0.4490	0.5775	0.6567	0.9490
82	0.5312	0.7093	0.6642	0.9605
83	0.4667	0.6441	0.6882	0.9667
84	0.4913	0.6215	0.6324	0.9512
85	0.3061	0.5503	0.6114	0.8980
86	0.4894	0.6455	0.6542	0.9149
87	0.4884	0.5977	0.6629	0.9302
88	0.4203	0.6232	0.6685	0.9565
89	0.4545	0.6154	0.6617	0.9432
90	0.4723	0.6541	0.6512	0.9589
91	0.5997	0.7660	0.7518	0.9560
92	0.5052	0.6939	0.7005	0.9278
93	0.4091	0.6233	0.6567	0.8636
94	0.3833	0.6455	0.7085	0.8750
95	0.4608	0.6207	0.6898	0.9412
96	0.3189	0.5838	0.5920	0.9663
97	0.4898	0.6802	0.7075	0.9592
98	0.4100	0.6633	0.6934	0.9500
99	0.4535	0.6512	0.6752	0.9524
100	0.5102	0.7208	0.7291	0.9490
101	0.4615	0.6373	0.7254	0.9615
102	0.5730	0.7374	0.7492	0.9551
103	0.3964	0.6280	0.7366	0.9459
104	0.4632	0.6632	0.7073	0.9474
105	0.4898	0.7053	0.7460	0.9490
106	0.5000	0.6957	0.7172	0.9519
107	0.4855	0.6854	0.6484	0.9512
108	0.3198	0.5444	0.5515	0.9600
109	0.3626	0.5122	0.6285	0.9451
110	0.3115	0.5614	0.5225	0.9333
111	0.5490	0.7122	0.7074	0.9505
112	0.4076	0.6146	0.6359	0.9457
113	0.2778	0.4910	0.4862	0.9605
114	0.4105	0.5579	0.6201	0.9053
115	0.3878	0.5102	0.6103	0.9490
116	0.4466	0.6122	0.6813	0.9320
117	0.3636	0.5257	0.5938	0.9318
118	0.3036	0.5200	0.6004	0.9375
119	0.3302	0.4681	0.5943	0.9528
120	0.3367	0.5405	0.6051	0.9490
121	0.3510	0.5505	0.6001	0.9333
122	0.2233	0.4944	0.4743	0.9324
123	0.2523	0.4352	0.4900	0.9459
124	0.3007	0.4973	0.5398	0.9512
125	0.2770	0.5025	0.5081	0.9479
126	0.3677	0.5896	0.5843	0.9524
127	0.3542	0.5532	0.5860	0.9062
128	0.4021	0.5684	0.6295	0.9381
129	0.3356	0.5263	0.5501	0.9125
130	0.4184	0.5258	0.6218	0.9490
131	0.4128	0.6000	0.6028	0.9405
132	0.4175	0.5746	0.6580	0.9432
133	0.2534	0.5089	0.4950	0.9583
134	0.3824	0.5657	0.5884	0.8431
135	0.3878	0.5625	0.6228	0.9388
136	0.3935	0.6096	0.5939	0.9231
137	0.3448	0.5524	0.6930	0.9397
138	0.4510	0.6598	0.7184	0.9510
139	0.4526	0.5938	0.6940	0.9579
140	0.3547	0.5543	0.6009	0.9551
141	0.4494	0.6301	0.6693	0.9314
142	0.3158	0.5600	0.6001	0.9298
143	0.2673	0.4577	0.5154	0.8571
144	0.2645	0.4747	0.4907	0.9500
145	0.2955	0.4647	0.5277	0.8561
146	0.6161	0.7879	0.7618	0.9468
147	0.5000	0.6825	0.7249	0.9286
148	0.5488	0.7327	0.7286	0.9490
149	0.4486	0.6635	0.7187	0.9346
150	0.5253	0.7100	0.7480	0.9495
151	0.4909	0.6890	0.7211	0.9364
152	0.5679	0.7081	0.7528	0.9630
153	0.4468	0.6339	0.6700	0.9468
154	0.3579	0.5909	0.6532	0.9263
155	0.4091	0.6012	0.6429	0.9205
156	0.4712	0.6190	0.6513	0.9135
157	0.3606	0.5111	0.5789	0.9512
158	0.3495	0.5294	0.5933	0.9320
159	0.3529	0.5882	0.6463	0.9244
160	0.4082	0.5657	0.6036	0.9490
161	0.4576	0.6944	0.7610	0.9068
162	0.3900	0.6114	0.6397	0.9500
163	0.3564	0.5949	0.6508	0.9505
164	0.4216	0.6321	0.6944	0.9510
165	0.4433	0.6842	0.7186	0.9485
166	0.4184	0.6061	0.6276	0.9286
167	0.4381	0.6569	0.6975	0.9524
168	0.4019	0.5588	0.6378	0.9533
169	0.4182	0.6432	0.7077	0.9364
170	0.3854	0.5745	0.6333	0.9479
171	0.4400	0.6400	0.7773	0.9300
172	0.4474	0.6144	0.6607	0.9600
173	0.4565	0.6786	0.7367	0.9457
174	0.4352	0.5437	0.6985	0.9352
175	0.4479	0.6667	0.7290	0.9479
176	0.3853	0.5930	0.6511	0.9541
177	0.4369	0.5957	0.7135	0.9417
