文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.2216
ROUGE-L 召回率: 0.4290
ROUGE-L 精确率: 0.3309
ROUGE-L F1分数: 0.3702
METEOR: 0.5192
DIST-2: 0.9353

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.2444	0.3827	0.5121	0.9333
2	0.1531	0.3468	0.4057	0.9388
3	0.1579	0.3590	0.4893	0.9298
4	0.1410	0.3226	0.3728	0.9615
5	0.1957	0.3407	0.4005	0.9355
6	0.1383	0.3256	0.4853	0.9574
7	0.1957	0.3392	0.5163	0.9348
8	0.1818	0.3277	0.4851	0.9596
9	0.2051	0.3947	0.4375	0.9615
10	0.1416	0.3226	0.5068	0.9558
11	0.2370	0.3646	0.5068	0.9462
12	0.2759	0.3931	0.5136	0.9195
13	0.1200	0.3209	0.5014	0.9600
14	0.2045	0.3864	0.4897	0.9767
15	0.2497	0.3830	0.5131	0.9444
16	0.2273	0.3682	0.4961	0.9273
17	0.2596	0.4103	0.5935	0.9423
18	0.2180	0.2988	0.4949	0.9323
19	0.2109	0.3486	0.5121	0.9297
20	0.1724	0.4046	0.5120	0.9643
21	0.1727	0.3542	0.5267	0.9545
22	0.2088	0.3444	0.4654	0.9231
23	0.1481	0.3107	0.4156	0.9352
24	0.2410	0.3593	0.4725	0.9639
25	0.1833	0.3514	0.5223	0.9417
26	0.1494	0.3678	0.4520	0.9655
27	0.1524	0.3415	0.4440	0.9740
28	0.1416	0.3488	0.4039	0.9747
29	0.2111	0.3750	0.5026	0.9444
30	0.2289	0.4000	0.4345	0.9500
31	0.2020	0.3249	0.4316	0.9596
32	0.1562	0.3060	0.3801	0.9479
33	0.1455	0.2941	0.4434	0.9545
34	0.2612	0.3579	0.4544	0.9419
35	0.1504	0.3077	0.5116	0.9381
36	0.1875	0.3625	0.4403	0.9375
37	0.2824	0.4588	0.4905	0.9639
38	0.1683	0.2905	0.4575	0.9505
39	0.2222	0.4145	0.5690	0.9630
40	0.2358	0.3333	0.5902	0.9675
41	0.4021	0.4227	0.5966	0.9175
42	0.3297	0.4744	0.6673	0.9341
43	0.1825	0.2899	0.4602	0.9206
44	0.1515	0.2537	0.4751	0.9091
45	0.2258	0.3756	0.5383	0.9194
46	0.2222	0.4161	0.5140	0.9383
47	0.1783	0.3061	0.5488	0.9380
48	0.2234	0.3810	0.5963	0.9574
49	0.1782	0.3256	0.4998	0.9505
50	0.2000	0.4074	0.5462	0.9300
51	0.2178	0.4023	0.5445	0.9010
52	0.1508	0.3077	0.5118	0.9524
53	0.2574	0.3931	0.5699	0.9208
54	0.2472	0.4405	0.5738	0.9326
55	0.2185	0.3492	0.5989	0.9328
56	0.2562	0.4138	0.5681	0.9174
57	0.2673	0.4022	0.5075	0.9208
58	0.2762	0.3646	0.5369	0.9143
59	0.2143	0.4000	0.4875	0.9388
60	0.1884	0.2883	0.4656	0.9348
61	0.2252	0.3736	0.6198	0.9459
62	0.1807	0.3600	0.4472	0.9639
63	0.1901	0.3665	0.6105	0.9504
64	0.1826	0.3770	0.5120	0.9478
65	0.1567	0.3069	0.5384	0.9478
66	0.1607	0.3370	0.5184	0.9375
67	0.2258	0.3787	0.5411	0.9570
68	0.1509	0.3704	0.5718	0.9434
69	0.2262	0.4521	0.5511	0.9643
70	0.1562	0.3077	0.4453	0.9375
71	0.1959	0.4000	0.4783	0.9175
72	0.2162	0.3061	0.5602	0.9459
73	0.2553	0.4000	0.5605	0.9468
74	0.1769	0.3317	0.5740	0.9538
75	0.2126	0.3511	0.5514	0.9291
76	0.1702	0.2944	0.5243	0.9433
77	0.2558	0.4261	0.5639	0.9457
78	0.2041	0.3299	0.4849	0.9592
79	0.1803	0.2896	0.4552	0.9508
80	0.2137	0.3214	0.4920	0.9466
81	0.2333	0.3911	0.5421	0.9667
82	0.4386	0.5780	0.5871	0.9351
83	0.1709	0.3235	0.4437	0.9402
84	0.2131	0.3594	0.5183	0.9180
85	0.1904	0.3488	0.4101	0.9630
86	0.2500	0.3907	0.5615	0.9583
87	0.1636	0.2929	0.4360	0.9455
88	0.1301	0.3021	0.5238	0.9268
89	0.1538	0.3030	0.4320	0.9231
90	0.1597	0.3707	0.4861	0.9496
91	0.2650	0.3738	0.5496	0.9316
92	0.3906	0.4405	0.6329	0.8906
93	0.3495	0.4327	0.5638	0.8835
94	0.3140	0.5161	0.5671	0.9419
95	0.2736	0.3575	0.5368	0.9340
96	0.2520	0.4384	0.5769	0.9106
97	0.3906	0.5551	0.7367	0.9219
98	0.2213	0.4706	0.6095	0.9098
99	0.1892	0.4020	0.5800	0.9459
100	0.2222	0.3951	0.6243	0.9306
101	0.4109	0.5852	0.7427	0.9380
102	0.2836	0.4554	0.6657	0.9328
103	0.2465	0.4454	0.6222	0.9296
104	0.2623	0.3963	0.6022	0.9344
105	0.1832	0.4126	0.5266	0.9237
106	0.2721	0.3598	0.6119	0.8824
107	0.2056	0.3941	0.4888	0.9439
108	0.2264	0.3700	0.5045	0.9151
109	0.2500	0.3030	0.4349	0.9457
110	0.1774	0.3273	0.5242	0.9516
111	0.3846	0.4525	0.6067	0.9145
112	0.1905	0.3317	0.4424	0.9524
113	0.1474	0.3226	0.3932	0.9368
114	0.1579	0.2584	0.3839	0.9298
115	0.0935	0.2581	0.3175	0.9659
116	0.2368	0.3671	0.5009	0.9211
117	0.1860	0.3148	0.4725	0.9457
118	0.1265	0.2441	0.3883	0.9157
119	0.2044	0.3379	0.5143	0.9343
120	0.1750	0.3092	0.4387	0.9167
121	0.2857	0.3598	0.5564	0.9286
122	0.1478	0.3105	0.4485	0.9130
123	0.1817	0.3037	0.4128	0.9535
124	0.1869	0.3238	0.4346	0.9439
125	0.1346	0.2609	0.3775	0.9615
126	0.1329	0.3017	0.4233	0.9091
127	0.1233	0.2605	0.3889	0.9521
128	0.1121	0.2700	0.3202	0.9533
129	0.1328	0.2374	0.3467	0.9375
130	0.1727	0.3010	0.3610	0.9455
131	0.1404	0.3524	0.4561	0.9737
132	0.3294	0.5028	0.5981	0.9302
133	0.1449	0.2979	0.4780	0.9565
134	0.1875	0.3229	0.4451	0.9583
135	0.2164	0.3070	0.4813	0.9403
136	0.3520	0.5158	0.6709	0.9280
137	0.3168	0.4821	0.6068	0.9208
138	0.2672	0.4327	0.6091	0.9483
139	0.3028	0.4272	0.6203	0.9266
140	0.1712	0.3786	0.5079	0.9550
141	0.3306	0.4232	0.5615	0.8871
142	0.1518	0.3318	0.3940	0.9196
143	0.1150	0.2963	0.3757	0.9292
144	0.1638	0.2906	0.4102	0.9397
145	0.1379	0.2520	0.3886	0.8759
146	0.2393	0.4525	0.5534	0.9402
147	0.2927	0.4775	0.6233	0.9268
148	0.3654	0.4519	0.5636	0.9135
149	0.2917	0.4464	0.5983	0.9500
150	0.3884	0.5405	0.7031	0.9339
151	0.2636	0.3860	0.5002	0.9225
152	0.3762	0.5414	0.6965	0.9406
153	0.2697	0.4157	0.4910	0.9438
154	0.2018	0.3368	0.4836	0.9174
155	0.1833	0.2829	0.4873	0.9333
156	0.4103	0.4484	0.6206	0.8889
157	0.2458	0.4444	0.5855	0.9492
158	0.3393	0.4319	0.5608	0.9018
159	0.2602	0.4356	0.5677	0.9350
160	0.3033	0.4144	0.6268	0.9426
161	0.2357	0.3922	0.6469	0.9172
162	0.2368	0.4155	0.5524	0.9386
163	0.3178	0.4843	0.6116	0.9302
164	0.3303	0.4700	0.6132	0.9358
165	0.4775	0.5882	0.7264	0.9009
166	0.2188	0.3772	0.5659	0.9375
167	0.2734	0.3866	0.6106	0.9496
168	0.2982	0.4171	0.5438	0.9298
169	0.1385	0.3105	0.4941	0.9538
170	0.3798	0.4706	0.7228	0.9225
171	0.2138	0.3909	0.6358	0.9448
172	0.2823	0.4455	0.6434	0.9355
173	0.2353	0.3774	0.6492	0.9412
174	0.4336	0.4813	0.6913	0.8741
175	0.2847	0.3964	0.6901	0.9236
176	0.3120	0.4093	0.5622	0.9040
177	0.2353	0.4344	0.5708	0.9338
178	0.4019	0.4316	0.6009	0.9065
179	0.2333	0.4039	0.5497	0.9250
180	0.2044	0.4144	0.5653	0.9343
181	0.1250	0.2966	0.4560	0.9485
182	0.0279	0.1685	0.2310	0.9106
183	0.0935	0.2638	0.3595	0.9496
184	0.1020	0.2787	0.4018	0.9184
185	0.0625	0.2691	0.3198	0.9297
186	0.1852	0.3545	0.5591	0.9407
187	0.2206	0.3694	0.5321	0.8971
188	0.3119	0.3878	0.5930	0.9266
189	0.2066	0.3677	0.5288	0.9174
190	0.2574	0.3801	0.5962	0.9118
191	0.1931	0.3675	0.5556	0.9310
192	0.1557	0.3184	0.4773	0.9344
193	0.2696	0.3684	0.5754	0.9304
194	0.1879	0.3207	0.4982	0.9060
195	0.1721	0.3350	0.4499	0.9180
196	0.2267	0.3629	0.5415	0.8933
197	0.1557	0.3551	0.4976	0.9344
198	0.1951	0.3333	0.4641	0.9350
199	0.2034	0.3412	0.4870	0.9237
200	0.1656	0.3293	0.4702	0.9108
