文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.2311
ROUGE-L 召回率: 0.4308
ROUGE-L 精确率: 0.3624
ROUGE-L F1分数: 0.3872
METEOR: 0.5097
DIST-2: 0.9461

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	1.0000	1.0000	1.0000	0.9571
2	0.2095	0.3889	0.5290	0.9619
3	0.1098	0.2945	0.3180	1.0000
4	0.2267	0.3684	0.4763	0.9733
5	0.2405	0.3553	0.4972	0.9747
6	0.3750	0.5190	0.6064	0.9625
7	0.1169	0.2821	0.4128	0.9610
8	0.1837	0.3295	0.4685	0.9388
9	0.1605	0.3355	0.4643	0.9877
10	0.0952	0.2548	0.4329	0.9881
11	0.2886	0.4663	0.5203	0.9362
12	0.2023	0.3593	0.4858	0.9630
13	0.1538	0.3483	0.4849	0.9890
14	0.1949	0.3269	0.5662	0.9576
15	0.1977	0.3598	0.4944	0.9780
16	0.0447	0.2105	0.3003	0.9875
17	0.2316	0.3871	0.5129	0.9684
18	0.2110	0.3871	0.5162	0.9633
19	0.1246	0.2941	0.3384	1.0000
20	0.0935	0.2857	0.4075	0.9907
21	0.1125	0.2857	0.3891	1.0000
22	0.1839	0.3182	0.4427	0.9655
23	0.1189	0.2857	0.3257	0.9571
24	0.1782	0.3135	0.5575	0.9406
25	0.2559	0.4973	0.4918	0.9518
26	0.2319	0.3924	0.5482	0.9718
27	0.2334	0.4099	0.5342	0.9324
28	0.0957	0.2781	0.3661	1.0000
29	0.2527	0.3842	0.5743	0.9451
30	0.1646	0.3046	0.4144	0.9697
31	0.2887	0.3897	0.5203	0.9381
32	0.1409	0.2771	0.3820	0.9873
33	0.1287	0.2564	0.3669	0.9505
34	0.2939	0.3682	0.5248	0.9381
35	0.1743	0.3137	0.4628	0.9633
36	0.1368	0.3429	0.4656	1.0000
37	0.1705	0.3426	0.4783	0.9690
38	0.2887	0.4114	0.5951	0.9691
39	0.2162	0.3469	0.5606	0.9730
40	0.1646	0.3452	0.4332	0.9630
41	0.2222	0.3512	0.4734	0.9444
42	0.1524	0.3294	0.5031	0.9429
43	0.3263	0.4432	0.5495	0.9263
44	0.1975	0.3506	0.4055	0.9630
45	0.2035	0.3226	0.5336	0.9381
46	0.3053	0.4663	0.6349	0.9368
47	0.3797	0.5890	0.6399	0.9241
48	0.3200	0.4832	0.5340	0.9467
49	0.1333	0.2723	0.5014	0.9583
50	0.2340	0.4103	0.5884	0.9362
51	0.3375	0.5359	0.6034	0.9375
52	0.2621	0.4216	0.6292	0.9417
53	0.3113	0.5056	0.6454	0.9340
54	0.2655	0.4792	0.6194	0.9469
55	0.1863	0.3605	0.5075	0.9412
56	0.3000	0.4815	0.5246	0.9125
57	0.1619	0.2951	0.4355	0.9619
58	0.2959	0.4483	0.5519	0.9184
59	0.3537	0.5065	0.5772	0.9390
60	0.2771	0.3952	0.5082	0.9157
61	0.3373	0.5195	0.5836	0.9157
62	0.2143	0.4000	0.5550	0.9388
63	0.2262	0.4545	0.5417	0.9524
64	0.2564	0.4041	0.6430	0.9402
65	0.2308	0.4277	0.4799	0.9341
66	0.3474	0.5629	0.6472	0.9263
67	0.3000	0.4699	0.6040	0.9333
68	0.2243	0.4172	0.5838	0.9346
69	0.3158	0.5223	0.6588	0.9368
70	0.2949	0.4783	0.5512	0.9231
71	0.2596	0.3846	0.5664	0.9135
72	0.2163	0.3354	0.5199	0.9737
73	0.2523	0.3646	0.5689	0.9369
74	0.3700	0.5143	0.6698	0.9300
75	0.2655	0.3793	0.5955	0.9204
76	0.4045	0.5698	0.5811	0.9213
77	0.1456	0.2671	0.5139	0.9563
78	0.3036	0.4808	0.5279	0.9286
79	0.3600	0.4020	0.5391	0.9300
80	0.2991	0.3900	0.5171	0.9439
81	0.2243	0.4286	0.5246	0.9346
82	0.2804	0.4828	0.5920	0.9252
83	0.2348	0.4158	0.5518	0.9391
84	0.3019	0.3980	0.5809	0.9340
85	0.1902	0.3275	0.4106	0.9875
86	0.1849	0.3084	0.4618	0.9580
87	0.2541	0.4190	0.5993	0.9590
88	0.2388	0.4776	0.5465	0.9385
89	0.2088	0.3488	0.4285	0.9451
90	0.3542	0.5165	0.6183	0.9271
91	0.2110	0.3301	0.5274	0.9358
92	0.3478	0.4860	0.5820	0.9304
93	0.2476	0.4571	0.5316	0.9238
94	0.3265	0.5102	0.5795	0.9167
95	0.3309	0.4895	0.6697	0.9485
96	0.1792	0.4158	0.5254	0.9717
97	0.4078	0.5743	0.6705	0.9612
98	0.2536	0.4304	0.6163	0.9420
99	0.0001	0.1250	0.0710	1.0000
100	0.2411	0.4455	0.5458	0.9732
101	0.2975	0.4253	0.6689	0.9504
102	0.2737	0.4757	0.5843	0.9368
103	0.2273	0.4563	0.5262	0.9545
104	0.3250	0.5023	0.6394	0.9333
105	0.2397	0.4118	0.5512	0.9178
106	0.0591	0.2474	0.3188	0.9780
107	0.2245	0.3505	0.4873	0.9286
108	0.1980	0.3795	0.4831	0.9307
109	0.1969	0.3022	0.3775	0.9545
110	0.1985	0.3276	0.5138	0.9412
111	0.2345	0.3858	0.4680	0.9462
112	0.1098	0.2905	0.3591	0.9873
113	0.1115	0.3077	0.3435	0.9615
114	0.0966	0.2541	0.3081	0.9767
115	0.2588	0.4044	0.4478	0.9294
116	0.1357	0.3176	0.4741	0.9714
117	0.2696	0.3069	0.4884	0.9217
118	0.2288	0.4078	0.5072	0.9661
119	0.2025	0.3265	0.4975	0.9325
120	0.1895	0.3077	0.4396	0.9474
121	0.3065	0.3629	0.5553	0.9274
122	0.1753	0.3196	0.4702	0.9556
123	0.1456	0.2788	0.3714	0.9126
124	0.2124	0.3056	0.4645	0.9469
125	0.1089	0.2800	0.3468	0.9691
126	0.1140	0.2956	0.4296	0.9474
127	0.1652	0.2995	0.4802	0.9739
128	0.1636	0.2956	0.4029	0.9727
129	0.0740	0.2857	0.3258	1.0000
130	0.0690	0.1792	0.2622	0.9914
131	0.2679	0.4135	0.4608	0.9286
132	0.4256	0.6012	0.6130	0.9000
133	0.2294	0.3687	0.4772	0.9390
134	0.1164	0.2556	0.3376	0.9643
135	0.3578	0.5123	0.5668	0.9266
136	0.3684	0.4476	0.6375	0.9386
137	0.3846	0.5758	0.6471	0.9519
138	0.2136	0.3897	0.4711	0.9515
139	0.2816	0.4600	0.5446	0.9417
140	0.2523	0.4078	0.5668	0.9369
141	0.2777	0.3661	0.4495	0.9252
142	0.1828	0.3714	0.3666	0.9394
143	0.1879	0.3333	0.4397	0.9684
144	0.1600	0.2551	0.4230	0.9600
145	0.1025	0.3222	0.3372	0.9577
146	0.3945	0.6103	0.6330	0.9358
147	0.1677	0.3231	0.4772	0.9193
148	0.0359	0.2985	0.2167	0.9667
149	0.2745	0.4757	0.5742	0.9412
150	0.3478	0.5278	0.6015	0.9391
151	0.3000	0.4110	0.5533	0.9083
152	0.3333	0.4969	0.5654	0.9259
153	0.2800	0.4868	0.5239	0.9100
154	0.1963	0.2979	0.4471	0.9439
155	0.2079	0.3656	0.4931	0.9406
156	0.3145	0.4435	0.5422	0.9516
157	0.2897	0.4293	0.5263	0.9533
158	0.2183	0.3128	0.5054	0.9296
159	0.2308	0.3534	0.5442	0.9462
160	0.3119	0.4498	0.5454	0.8991
161	0.2640	0.4933	0.5896	0.9440
162	0.2174	0.3654	0.4632	0.9304
163	0.2807	0.4712	0.5515	0.9298
164	0.2459	0.4038	0.5501	0.9426
165	0.2378	0.4407	0.6132	0.9441
166	0.2083	0.3545	0.4851	0.9417
167	0.2406	0.3879	0.5721	0.9323
168	0.2266	0.3733	0.4944	0.9375
169	0.1613	0.3443	0.5453	0.9355
170	0.2409	0.4629	0.5995	0.9270
171	0.1823	0.3146	0.5911	0.9531
172	0.2701	0.4093	0.6505	0.9124
173	0.2308	0.3707	0.6535	0.9167
174	0.2642	0.3333	0.5433	0.9623
175	0.2917	0.4646	0.6594	0.9417
176	0.2870	0.5051	0.5640	0.9352
177	0.2500	0.4195	0.6042	0.9500
178	0.2241	0.4121	0.5334	0.9310
179	0.1818	0.3725	0.4920	0.9339
180	0.2417	0.4780	0.5548	0.9250
181	0.1102	0.2936	0.3839	0.9661
182	0.0823	0.2063	0.2784	0.9304
183	0.1765	0.3030	0.4031	0.9804
184	0.1440	0.3423	0.4317	0.9360
185	0.0909	0.2778	0.3295	0.9421
186	0.2044	0.3423	0.5951	0.9489
187	0.2000	0.3509	0.5021	0.9294
188	0.2583	0.3671	0.6019	0.9417
189	0.2897	0.3541	0.5603	0.9346
190	0.1920	0.3905	0.5353	0.9360
191	0.2500	0.3644	0.5449	0.9265
192	0.1709	0.2959	0.4286	0.9145
193	0.3186	0.4787	0.5749	0.8938
194	0.2692	0.3945	0.4841	0.8846
195	0.2835	0.4059	0.6029	0.9134
196	0.2000	0.3333	0.5110	0.9437
197	0.2368	0.3883	0.5057	0.9298
198	0.1250	0.2531	0.3944	0.9408
199	0.2243	0.3200	0.4727	0.9346
200	0.1645	0.3443	0.5006	0.9276
