文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.3231
ROUGE-L 召回率: 0.5263
ROUGE-L 精确率: 0.5089
ROUGE-L F1分数: 0.5141
METEOR: 0.5613
DIST-2: 0.9389

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.4231	0.5980	0.6855	0.9423
2	0.5000	0.6051	0.6928	0.9300
3	0.3333	0.4457	0.5668	0.9583
4	0.3333	0.5542	0.6361	0.9556
5	0.4444	0.6380	0.6487	0.9506
6	0.4227	0.5851	0.6803	0.9485
7	0.2421	0.4368	0.5117	0.9579
8	0.3858	0.6049	0.6080	0.9600
9	0.4302	0.5965	0.6183	0.9186
10	0.4694	0.6630	0.7018	0.9490
11	0.2727	0.5028	0.5763	0.9596
12	0.3203	0.5584	0.5770	0.9459
13	0.3167	0.5342	0.5516	0.9444
14	0.3939	0.5918	0.6088	0.9495
15	0.4598	0.6296	0.6720	0.9540
16	0.2976	0.5871	0.5832	0.9405
17	0.3000	0.4969	0.5070	0.9375
18	0.3820	0.5786	0.6626	0.9438
19	0.4167	0.6190	0.6389	0.9524
20	0.3444	0.4943	0.5601	0.9556
21	0.2812	0.5131	0.6168	0.9688
22	0.3373	0.5868	0.5725	0.9518
23	0.3402	0.6030	0.5559	0.9535
24	0.4239	0.6364	0.6940	0.9457
25	0.4667	0.6409	0.6697	0.9444
26	0.3918	0.5538	0.5994	0.9583
27	0.3831	0.6010	0.6004	0.9457
28	0.4556	0.5967	0.6617	0.9444
29	0.3101	0.5275	0.5576	0.9524
30	0.3736	0.5517	0.5835	0.9560
31	0.4000	0.5888	0.6475	0.9600
32	0.3933	0.5778	0.6216	0.9438
33	0.4831	0.6477	0.6917	0.9438
34	0.4656	0.6514	0.6593	0.9518
35	0.2986	0.5312	0.5109	0.9333
36	0.2609	0.4953	0.5053	0.9570
37	0.3263	0.5525	0.5783	0.9375
38	0.4231	0.5730	0.7080	0.9519
39	0.2959	0.5340	0.5882	0.9592
40	0.3936	0.5714	0.6054	0.9043
41	0.2661	0.4845	0.4956	0.9451
42	0.5000	0.6477	0.6666	0.9535
43	0.3814	0.5820	0.6159	0.9485
44	0.4157	0.6108	0.7343	0.9551
45	0.4249	0.6196	0.6224	0.9432
46	0.4276	0.6702	0.6365	0.9438
47	0.4943	0.6279	0.6813	0.9080
48	0.4828	0.6171	0.6085	0.9425
49	0.3419	0.4907	0.5767	0.9402
50	0.4186	0.6163	0.6124	0.9405
51	0.4115	0.5871	0.6573	0.9588
52	0.3158	0.5079	0.5808	0.9579
53	0.3297	0.5682	0.5804	0.9121
54	0.5166	0.6705	0.6654	0.9529
55	0.3017	0.5238	0.4965	0.9468
56	0.3138	0.5294	0.5474	0.9390
57	0.4426	0.6061	0.6174	0.9595
58	0.5455	0.6901	0.7209	0.9432
59	0.3708	0.5930	0.6219	0.9438
60	0.4110	0.5714	0.6025	0.9302
61	0.4659	0.5989	0.6512	0.9425
62	0.5106	0.6630	0.6986	0.9362
63	0.3394	0.5911	0.5378	0.9438
64	0.4283	0.6264	0.5962	0.9518
65	0.3776	0.5455	0.6142	0.9184
66	0.2375	0.4224	0.5009	0.9625
67	0.3366	0.5385	0.5148	0.9518
68	0.2838	0.4966	0.4791	0.9324
69	0.2929	0.4891	0.5949	0.9394
70	0.4409	0.5294	0.6812	0.9462
71	0.2785	0.4110	0.5174	0.9620
72	0.4350	0.6391	0.6041	0.9487
73	0.2784	0.5363	0.6081	0.9588
74	0.3158	0.5550	0.5543	0.9681
75	0.3820	0.5281	0.5926	0.9551
76	0.4082	0.5902	0.6051	0.9545
77	0.2466	0.4000	0.5016	0.9726
78	0.3750	0.4841	0.5945	0.9625
79	0.2317	0.3862	0.5492	0.9268
80	0.3019	0.4947	0.5818	0.9245
81	0.3793	0.5750	0.6942	0.9425
82	0.3420	0.5888	0.5797	0.9570
83	0.3225	0.4973	0.5495	0.9556
84	0.2657	0.5622	0.5288	0.9518
85	0.3633	0.5641	0.5671	0.9583
86	0.2394	0.4306	0.5115	0.9718
87	0.4150	0.6492	0.6089	0.9529
88	0.1579	0.4048	0.4287	0.9368
89	0.2540	0.4778	0.5152	0.9167
90	0.4272	0.6477	0.6331	0.9518
91	0.2143	0.3841	0.4570	0.9048
92	0.2347	0.4121	0.4603	0.9615
93	0.2857	0.4889	0.5617	0.8980
94	0.3152	0.5355	0.5639	0.9213
95	0.3258	0.5767	0.6337	0.9438
96	0.2672	0.4824	0.4491	0.9737
97	0.1758	0.3926	0.4665	0.8791
98	0.2184	0.4173	0.4935	0.8736
99	0.3250	0.5902	0.5209	0.9474
100	0.3407	0.4693	0.5503	0.9560
101	0.1327	0.2824	0.4546	0.9027
102	0.1701	0.4074	0.4018	0.9041
103	0.2346	0.4049	0.4433	0.9506
104	0.2972	0.4809	0.5133	0.9540
105	0.4231	0.5700	0.6125	0.9615
106	0.1354	0.3373	0.4123	0.8750
107	0.1974	0.4828	0.5007	0.9211
108	0.3592	0.5217	0.6745	0.9417
109	0.3045	0.4224	0.5119	0.9481
110	0.2965	0.5076	0.5278	0.8936
111	0.2762	0.4419	0.5235	0.9500
112	0.2857	0.5175	0.5876	0.9610
113	0.2608	0.4651	0.4270	0.8571
114	0.1728	0.3580	0.4077	0.9114
115	0.2174	0.4940	0.5695	0.8913
116	0.3376	0.4932	0.5642	0.9429
117	0.3333	0.4855	0.5535	0.9556
118	0.1585	0.4027	0.4688	0.9390
119	0.4120	0.5732	0.5615	0.9467
120	0.1757	0.3566	0.3644	0.9054
121	0.2889	0.3867	0.5344	0.9556
122	0.1954	0.3333	0.4672	0.9655
123	0.3333	0.5357	0.5511	0.9634
124	0.1633	0.3817	0.4109	0.9412
125	0.1408	0.3969	0.4343	0.9437
126	0.1714	0.4118	0.5195	0.9714
127	0.3253	0.4430	0.5380	0.8193
128	0.1667	0.3378	0.4311	0.9583
129	0.2809	0.4848	0.5168	0.9438
130	0.1944	0.3387	0.5410	0.9722
131	0.1522	0.3270	0.4475	0.9239
132	0.2547	0.4598	0.5087	0.8659
133	0.2750	0.4286	0.4811	0.7875
134	0.3448	0.5119	0.5573	0.9540
135	0.1123	0.3462	0.3256	0.9054
136	0.1975	0.3742	0.4950	0.9753
137	0.3814	0.5978	0.6373	0.9278
138	0.1421	0.3714	0.3358	0.9355
139	0.1327	0.3563	0.4433	0.8571
140	0.2738	0.4734	0.5038	0.8929
141	0.3537	0.4727	0.5738	0.9146
142	0.1860	0.3195	0.3954	0.9302
143	0.2588	0.5034	0.5843	0.9412
144	0.3086	0.5190	0.5687	0.9630
145	0.3827	0.5644	0.6287	0.9375
146	0.3944	0.5600	0.6071	0.9722
147	0.1692	0.3175	0.3157	0.8308
148	0.1806	0.3662	0.4430	0.9722
149	0.3793	0.5465	0.6525	0.8966
150	0.3023	0.5172	0.5973	0.9535
151	0.2545	0.4227	0.5641	0.9636
152	0.1688	0.4000	0.3852	0.9740
153	0.3590	0.4937	0.5036	0.9231
154	0.4125	0.5283	0.6503	0.9500
