文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.4032
ROUGE-L 召回率: 0.5794
ROUGE-L 精确率: 0.5521
ROUGE-L F1分数: 0.5596
METEOR: 0.6198
DIST-2: 0.9314

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.5545	0.7238	0.7851	0.9364
2	0.4402	0.6484	0.6600	0.9655
3	0.3800	0.5556	0.5658	0.9459
4	0.5000	0.6526	0.7909	0.8684
5	0.4622	0.5949	0.6538	0.9605
6	0.6300	0.7644	0.8006	0.9300
7	0.3412	0.5122	0.5632	0.9647
8	0.4923	0.6341	0.6066	0.9351
9	0.3470	0.5570	0.5392	0.9726
10	0.5189	0.6042	0.7069	0.8868
11	0.4043	0.6092	0.6515	0.9468
12	0.4405	0.5732	0.6853	0.9286
13	0.4134	0.6316	0.6382	0.9390
14	0.5147	0.6378	0.6492	0.9091
15	0.5412	0.6875	0.7375	0.9294
16	0.3820	0.6220	0.6137	0.9565
17	0.4343	0.5222	0.6249	0.8889
18	0.4894	0.6829	0.8185	0.9362
19	0.4368	0.6433	0.6595	0.9540
20	0.4852	0.6752	0.6396	0.9589
21	0.3904	0.5497	0.6029	0.9474
22	0.3067	0.5306	0.4720	0.9365
23	0.6124	0.7182	0.7251	0.8598
24	0.5176	0.6509	0.7166	0.9412
25	0.6237	0.7826	0.7935	0.9355
26	0.6415	0.8098	0.8383	0.9340
27	0.4441	0.6256	0.6209	0.9362
28	0.5506	0.7079	0.6985	0.9540
29	0.5612	0.7143	0.7282	0.9286
30	0.5567	0.7000	0.7516	0.9381
31	0.4916	0.6519	0.6297	0.9286
32	0.5591	0.7174	0.7378	0.9355
33	0.5400	0.7166	0.7721	0.8900
34	0.5443	0.7263	0.7346	0.9310
35	0.4667	0.5894	0.6483	0.9429
36	0.3563	0.5068	0.5541	0.9300
37	0.4087	0.6111	0.6731	0.9391
38	0.5455	0.6444	0.8030	0.8889
39	0.4918	0.6437	0.6456	0.9506
40	0.6392	0.7568	0.8040	0.9278
41	0.4262	0.6629	0.5925	0.9200
42	0.6235	0.7368	0.7351	0.9259
43	0.5055	0.6885	0.7002	0.9341
44	0.5684	0.6936	0.7685	0.8632
45	0.6046	0.7582	0.7314	0.9186
46	0.4862	0.6351	0.7225	0.9541
47	0.4891	0.6441	0.7022	0.9239
48	0.5865	0.7083	0.7631	0.9135
49	0.6286	0.6765	0.7993	0.9333
50	0.5217	0.6889	0.7017	0.9457
51	0.4071	0.5969	0.5674	0.9540
52	0.4609	0.6029	0.7089	0.9391
53	0.5301	0.6548	0.7121	0.9518
54	0.6452	0.8043	0.8164	0.9247
55	0.4242	0.6275	0.5754	0.9318
56	0.4312	0.5990	0.6871	0.9083
57	0.5224	0.6707	0.6517	0.9474
58	0.5510	0.7403	0.8071	0.9286
59	0.4946	0.6818	0.7399	0.9462
