文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.3621
ROUGE-L 召回率: 0.5925
ROUGE-L 精确率: 0.5098
ROUGE-L F1分数: 0.5453
METEOR: 0.6295
DIST-2: 0.9446

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.5283	0.6699	0.7852	0.9245
2	0.5052	0.6875	0.7371	0.9485
3	0.4554	0.6100	0.7177	0.9464
4	0.3663	0.5763	0.6991	0.9604
5	0.3750	0.5843	0.6246	0.9583
6	0.4700	0.6702	0.6988	0.9500
7	0.4105	0.5632	0.6273	0.9474
8	0.4694	0.6595	0.6961	0.9388
9	0.4444	0.6743	0.6936	0.9556
10	0.4479	0.5934	0.7159	0.9375
11	0.4100	0.6333	0.7036	0.9600
12	0.3939	0.5810	0.6385	0.9394
13	0.4792	0.6703	0.7402	0.9375
14	0.4211	0.6000	0.5896	0.9247
15	0.3407	0.4819	0.6304	0.9670
16	0.4510	0.6278	0.6680	0.9245
17	0.3861	0.5934	0.6592	0.9208
18	0.3604	0.5746	0.7207	0.9279
19	0.5484	0.7119	0.7591	0.9355
20	0.3291	0.4815	0.5428	0.9487
21	0.4194	0.6631	0.6579	0.9457
22	0.2697	0.4624	0.5302	0.9775
23	0.3825	0.6087	0.5778	0.9468
24	0.4536	0.6630	0.7405	0.9485
25	0.5521	0.7380	0.7662	0.9375
26	0.5098	0.6667	0.7696	0.9510
27	0.4000	0.5728	0.6302	0.9429
28	0.5234	0.6768	0.8034	0.9533
29	0.4536	0.5846	0.6340	0.9485
30	0.3535	0.5934	0.6448	0.9394
31	0.5278	0.6927	0.7351	0.9259
32	0.4159	0.6373	0.6947	0.9469
33	0.3933	0.5909	0.6313	0.9551
34	0.5161	0.6811	0.7519	0.9462
35	0.3365	0.5437	0.5823	0.9423
36	0.4672	0.5679	0.6540	0.9508
37	0.4441	0.6359	0.7022	0.9362
38	0.4737	0.6364	0.7171	0.9368
39	0.4808	0.6701	0.7132	0.9327
40	0.4775	0.6834	0.7538	0.9459
41	0.3684	0.5438	0.5730	0.9474
42	0.5435	0.7143	0.7904	0.9457
43	0.3402	0.5503	0.5812	0.9485
44	0.4500	0.6629	0.7636	0.9500
45	0.4655	0.6132	0.7350	0.9310
46	0.5140	0.6699	0.6948	0.9346
47	0.4082	0.6120	0.6562	0.9490
48	0.4500	0.6277	0.6608	0.9500
49	0.4717	0.6341	0.6941	0.9434
50	0.6064	0.7473	0.7694	0.9362
51	0.4190	0.5837	0.6522	0.9429
52	0.5435	0.7097	0.7171	0.9239
53	0.3585	0.6073	0.7081	0.9434
54	0.4545	0.6421	0.7556	0.9192
55	0.3591	0.5561	0.5795	0.9439
56	0.3704	0.5510	0.6190	0.9444
57	0.4409	0.5870	0.6629	0.9247
58	0.4167	0.6369	0.6995	0.9583
59	0.4479	0.6369	0.7212	0.9479
60	0.4466	0.6117	0.6769	0.9417
61	0.4159	0.6305	0.7785	0.9381
62	0.4124	0.6196	0.6685	0.9381
63	0.3566	0.5479	0.5453	0.9429
64	0.4545	0.6364	0.6456	0.9495
65	0.3933	0.5730	0.6157	0.9438
66	0.2828	0.4556	0.6101	0.9495
67	0.3299	0.5204	0.5302	0.9588
68	0.2824	0.4625	0.5651	0.9529
69	0.4100	0.5514	0.6730	0.9600
70	0.3738	0.5652	0.7084	0.9533
71	0.1935	0.3625	0.4550	0.9570
72	0.4787	0.6378	0.6667	0.9468
73	0.3711	0.5810	0.6283	0.9485
74	0.3130	0.5283	0.5734	0.9304
75	0.2525	0.4362	0.4931	0.9798
76	0.4468	0.6243	0.6207	0.9468
77	0.1875	0.3333	0.4848	0.9375
78	0.4022	0.5444	0.6442	0.9457
79	0.2347	0.4348	0.5307	0.9184
