文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.2417
ROUGE-L 召回率: 0.4545
ROUGE-L 精确率: 0.3735
ROUGE-L F1分数: 0.4022
METEOR: 0.5052
DIST-2: 0.9355

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.2966	0.5568	0.5187	0.9474
2	0.2793	0.4757	0.5581	0.9640
3	0.2321	0.3800	0.5191	0.9554
4	0.2521	0.4821	0.6075	0.9496
5	0.2601	0.4238	0.4441	0.9420
6	0.4831	0.5876	0.6297	0.9070
7	0.2824	0.4390	0.5048	0.9647
8	0.3098	0.5306	0.4726	0.9167
9	0.2285	0.3951	0.4190	0.9351
10	0.4155	0.6012	0.6241	0.9610
11	0.3300	0.4889	0.5299	0.9100
12	0.4103	0.5823	0.5809	0.9487
13	0.2781	0.5000	0.4958	0.9403
14	0.3394	0.4563	0.5971	0.9358
15	0.3023	0.3354	0.5312	0.9535
16	0.1901	0.3085	0.4081	0.9524
17	0.3889	0.5731	0.6098	0.9556
18	0.4118	0.6065	0.6605	0.9647
19	0.3516	0.4571	0.5796	0.9011
20	0.2062	0.3567	0.4127	0.9589
21	0.1783	0.4018	0.5512	0.9147
22	0.2195	0.3758	0.4793	0.9383
23	0.2617	0.3874	0.4840	0.9487
24	0.3409	0.5581	0.5966	0.9659
25	0.2233	0.4124	0.5040	0.9320
26	0.2881	0.4762	0.4911	0.9444
27	0.3875	0.5792	0.5962	0.9390
28	0.3729	0.5185	0.5388	0.9437
29	0.2857	0.4138	0.4944	0.9048
30	0.3125	0.4718	0.5590	0.9375
31	0.2207	0.4215	0.5326	0.9517
32	0.3036	0.4729	0.5588	0.9196
33	0.2414	0.4236	0.5644	0.9397
34	0.3333	0.4975	0.5775	0.9429
35	0.3209	0.4915	0.5964	0.9254
36	0.2512	0.5000	0.4502	0.9639
37	0.3499	0.5699	0.5747	0.9529
38	0.2920	0.4948	0.6334	0.9469
39	0.3299	0.5263	0.5749	0.9175
40	0.3363	0.5274	0.6101	0.9381
41	0.2460	0.3755	0.4890	0.9286
42	0.4166	0.5904	0.5992	0.9474
43	0.2932	0.4444	0.5995	0.9098
44	0.2689	0.4975	0.6774	0.9496
45	0.2039	0.3710	0.5386	0.9079
46	0.3762	0.5851	0.5782	0.9419
47	0.3057	0.5166	0.4777	0.9242
48	0.3222	0.3820	0.4708	0.9333
49	0.3882	0.4590	0.5545	0.9405
50	0.3362	0.5490	0.6216	0.9569
51	0.2906	0.4344	0.4767	0.9060
52	0.3942	0.5657	0.5996	0.9231
53	0.3009	0.4663	0.5621	0.9487
54	0.3478	0.4660	0.6216	0.9304
55	0.2687	0.4413	0.4645	0.8969
56	0.2535	0.4348	0.5891	0.9437
57	0.2937	0.4424	0.5682	0.9444
58	0.2966	0.5075	0.6729	0.9322
