文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.2123
ROUGE-L 召回率: 0.4528
ROUGE-L 精确率: 0.3181
ROUGE-L F1分数: 0.3700
METEOR: 0.5147
DIST-2: 0.9395

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.3308	0.4292	0.6137	0.8947
2	0.2453	0.3881	0.4992	0.9528
3	0.2066	0.3254	0.5010	0.9421
4	0.1835	0.3676	0.4911	0.9450
5	0.2222	0.3867	0.4867	0.9596
6	0.2240	0.3519	0.5400	0.9600
7	0.1597	0.2691	0.4413	0.9514
8	0.2143	0.3216	0.5363	0.9554
9	0.1827	0.3069	0.4224	0.9423
10	0.3426	0.4845	0.6500	0.9352
11	0.2843	0.4286	0.5999	0.9412
12	0.2263	0.3134	0.5204	0.9270
13	0.1652	0.3235	0.4680	0.9565
14	0.4105	0.5397	0.6091	0.9130
15	0.1719	0.2956	0.4903	0.9375
16	0.3043	0.4017	0.5419	0.9464
17	0.1729	0.3364	0.5570	0.9398
18	0.2700	0.3647	0.5438	0.9100
19	0.2269	0.3842	0.5487	0.9328
20	0.1826	0.3618	0.4893	0.9652
21	0.1803	0.3226	0.4909	0.9426
22	0.1858	0.3350	0.4268	0.9381
23	0.2339	0.3460	0.4792	0.9274
24	0.3333	0.5333	0.6492	0.9279
25	0.3894	0.5588	0.6295	0.9204
26	0.4120	0.5864	0.6358	0.9239
27	0.2000	0.3051	0.4878	0.9407
28	0.3182	0.4478	0.5642	0.9273
29	0.3500	0.4954	0.6057	0.8917
30	0.3310	0.5000	0.6941	0.9310
31	0.3083	0.4240	0.5236	0.9083
32	0.1915	0.3793	0.5194	0.9362
33	0.4494	0.5909	0.6643	0.9213
34	0.4019	0.5628	0.6108	0.9252
35	0.3306	0.4395	0.5218	0.8843
36	0.2812	0.4016	0.5380	0.9219
37	0.3597	0.4333	0.6577	0.8777
38	0.2857	0.4249	0.5616	0.9196
39	0.2881	0.4360	0.5557	0.9068
40	0.3333	0.4739	0.5931	0.9106
41	0.2086	0.3306	0.5110	0.9209
42	0.2362	0.3963	0.5558	0.9370
43	0.2957	0.3768	0.5437	0.9217
44	0.3889	0.5806	0.7124	0.9259
45	0.3077	0.4686	0.6293	0.9161
46	0.2348	0.3779	0.4776	0.9043
47	0.3115	0.5314	0.6658	0.9426
48	0.2845	0.3725	0.5888	0.9483
49	0.3007	0.4206	0.6517	0.9412
50	0.2793	0.5025	0.5645	0.9279
51	0.2077	0.3590	0.4996	0.9538
52	0.3832	0.5473	0.5946	0.9065
53	0.3091	0.5436	0.6312	0.9273
54	0.4112	0.5455	0.6327	0.9252
