文本质量详细评估结果
==================================================

平均指标分数:
BLEU-2: 0.1176
ROUGE-L 召回率: 0.4273
ROUGE-L 精确率: 0.2104
ROUGE-L F1分数: 0.2795
METEOR: 0.4661
DIST-2: 0.9625

各案例详细分数:
案例ID	BLEU-2	ROUGE-L F1	METEOR	DIST-2
1	0.1343	0.2911	0.5172	0.9306
2	0.0874	0.2302	0.4211	0.9508
3	0.1449	0.3274	0.5084	0.9493
4	0.1186	0.3083	0.5315	0.9718
5	0.0941	0.2460	0.4571	0.9647
6	0.1543	0.2581	0.5341	0.9681
7	0.2098	0.2793	0.5138	0.9650
8	0.1123	0.3066	0.4814	0.9465
9	0.0652	0.2332	0.3496	0.9855
10	0.1824	0.3673	0.5360	0.9623
11	0.1971	0.3871	0.5696	0.9562
12	0.1202	0.2662	0.4708	0.9617
13	0.0809	0.2595	0.3960	0.9653
14	0.1396	0.2759	0.4750	0.9505
15	0.1006	0.2459	0.4720	0.9763
16	0.2038	0.3139	0.4613	0.9618
17	0.1006	0.2560	0.4754	0.9645
18	0.1193	0.2439	0.5030	0.9602
19	0.1538	0.3320	0.5558	0.9586
20	0.1093	0.2322	0.4772	0.9781
21	0.1309	0.3077	0.4799	0.9319
22	0.0979	0.2643	0.4505	0.9720
23	0.1294	0.2484	0.4649	0.9751
24	0.2353	0.3656	0.4619	0.9412
25	0.1989	0.2996	0.5992	0.9545
26	0.1911	0.3594	0.6436	0.9427
27	0.1382	0.3019	0.5064	0.9677
28	0.1848	0.3564	0.5573	0.9565
29	0.1379	0.3455	0.5952	0.9212
30	0.1727	0.3102	0.5564	0.9136
31	0.1786	0.3551	0.6192	0.9196
32	0.1084	0.2789	0.4465	0.9557
33	0.0950	0.2857	0.5495	0.9548
34	0.1535	0.3469	0.5750	0.9406
35	0.1503	0.2576	0.4540	0.9378
36	0.1713	0.3311	0.4992	0.9558
37	0.0805	0.2473	0.4041	0.9770
38	0.1250	0.3114	0.5134	0.8798
39	0.1299	0.2667	0.5180	0.9605
40	0.2139	0.3709	0.6538	0.9358
41	0.1889	0.2750	0.5413	0.9447
42	0.2254	0.3878	0.6191	0.9422
43	0.1070	0.2796	0.4438	0.9679
44	0.1888	0.3348	0.6226	0.9650
45	0.1408	0.2977	0.5294	0.9390
46	0.1748	0.2727	0.5118	0.9369
47	0.1710	0.3597	0.5958	0.9275
48	0.1781	0.3077	0.5198	0.9726
49	0.1538	0.2997	0.5464	0.9471
50	0.1290	0.3344	0.5656	0.9309
51	0.1029	0.2468	0.4511	0.9461
52	0.1860	0.3985	0.6365	0.9070
53	0.1410	0.3402	0.5340	0.9872
54	0.1615	0.3039	0.5413	0.9323
55	0.1283	0.3158	0.4798	0.8805
56	0.0991	0.2125	0.4390	0.9267
57	0.1974	0.3272	0.6279	0.9185
58	0.1676	0.3588	0.6371	0.9385
59	0.1768	0.3636	0.5901	0.9558
60	0.1623	0.3673	0.5633	0.9319
61	0.1871	0.4163	0.6074	0.9419
62	0.0970	0.2381	0.3867	0.9939
63	0.1073	0.2257	0.3605	0.9561
64	0.0931	0.2508	0.4054	0.9461
65	0.0923	0.2535	0.4204	0.9641
66	0.0688	0.2656	0.4497	1.0000
67	0.1048	0.2330	0.4364	0.9571
68	0.1701	0.3123	0.6012	0.9536
69	0.0615	0.2273	0.3755	0.9888
70	0.0367	0.1898	0.3972	0.9679
71	0.1570	0.3013	0.5391	0.9360
72	0.0718	0.2378	0.3810	0.9846
73	0.1144	0.2544	0.4935	0.9652
74	0.1099	0.2366	0.4603	0.9505
75	0.0787	0.2996	0.3635	0.9607
76	0.0897	0.2833	0.3857	0.9793
77	0.0938	0.2635	0.4706	0.9732
78	0.1041	0.2550	0.4231	0.9457
79	0.0552	0.2500	0.3830	0.9862
80	0.1607	0.2857	0.4528	0.9464
81	0.0457	0.2419	0.3492	0.9714
82	0.0781	0.2245	0.2443	0.9565
83	0.0926	0.1699	0.3654	0.9481
84	0.1267	0.2778	0.4059	0.9667
85	0.0745	0.2647	0.4846	0.9681
86	0.1037	0.3269	0.5447	0.9704
87	0.2171	0.3101	0.5216	0.9474
88	0.0341	0.1840	0.3499	0.9583
89	0.0662	0.2267	0.3230	0.9735
90	0.0988	0.2717	0.4456	0.9767
91	0.1044	0.2731	0.5338	0.9560
92	0.1561	0.3014	0.5757	0.9610
93	0.0568	0.1994	0.3861	0.9738
94	0.0909	0.1935	0.2864	0.9675
95	0.1401	0.2944	0.4937	0.9490
96	0.1371	0.2844	0.3719	0.9597
97	0.0484	0.1531	0.2583	0.9597
98	0.1486	0.3400	0.6032	0.9865
